,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
173,317,1600,3532.8571428571427,7410,0 days 05:00:00.000000000,0 days 10:53:20.000000000,0 days 23:10:00.000000000
173,453,7900,9136.0,10490,0 days 10:40:00.000000000,0 days 15:51:00.000000000,1 days 04:25:00.000000000
173,504,950,2341.044776119403,3830,0 days 01:50:00.000000000,0 days 04:00:11.641791044,1 days 00:57:00.000000000
173,542,1600,3507.8,13400,0 days 02:50:00.000000000,0 days 08:27:03.600000000,1 days 08:04:00.000000000
173,585,1050,1685.0,2300,0 days 06:25:00.000000000,0 days 13:32:30.000000000,1 days 00:10:00.000000000
173,611,3600,3600.0,3600,0 days 19:00:00.000000000,0 days 19:00:00.000000000,0 days 19:00:00.000000000
173,628,3190,6904.520547945205,16600,0 days 05:52:00.000000000,0 days 12:23:41.095890410,1 days 07:45:00.000000000
173,809,2900,10109.285714285714,20800,0 days 09:00:00.000000000,0 days 19:48:30.000000000,1 days 19:00:00.000000000
184,628,950,2080.5,11550,0 days 01:50:00.000000000,0 days 06:00:45.000000000,1 days 03:45:00.000000000
184,694,5000,5000.0,5000,0 days 03:10:00.000000000,0 days 03:20:00.000000000,0 days 03:30:00.000000000
185,33,1200,2260.0,4400,0 days 02:30:00.000000000,0 days 08:22:13.636363636,1 days 12:20:00.000000000
185,451,3100,9312.857142857143,13800,0 days 05:10:00.000000000,0 days 18:12:17.142857142,2 days 03:00:00.000000000
185,485,500,1825.2777777777778,3220,0 days 01:20:00.000000000,0 days 03:42:38.333333333,0 days 22:15:00.000000000
185,628,1400,2929.5384615384614,4200,0 days 02:50:00.000000000,0 days 07:47:21.230769230,1 days 04:45:00.000000000
185,639,2990,3690.0,4290,0 days 10:25:00.000000000,0 days 16:08:10.909090909,0 days 20:50:00.000000000
185,843,2000,2400.0,3200,0 days 09:15:00.000000000,0 days 14:58:20.000000000,0 days 19:35:00.000000000
185,1061,2800,3000.0,3400,0 days 08:40:00.000000000,0 days 12:26:15.000000000,0 days 15:40:00.000000000
185,5866,400,1033.3333333333333,2000,0 days 01:30:00.000000000,0 days 02:55:00.000000000,0 days 05:45:00.000000000
185,10480,2900,3250.0,3600,0 days 04:40:00.000000000,0 days 05:15:00.000000000,0 days 05:50:00.000000000
186,107,6040,6615.0,7540,0 days 04:06:00.000000000,0 days 05:57:15.000000000,0 days 14:58:00.000000000
186,200,1290,2965.7894736842104,5510,0 days 04:23:00.000000000,0 days 05:36:03.157894736,0 days 07:45:00.000000000
186,424,5800,12580.833333333334,20900,0 days 06:52:00.000000000,0 days 19:34:40.000000000,1 days 11:50:00.000000000
186,628,1600,5627.045454545455,11610,0 days 03:28:00.000000000,0 days 06:34:51.818181818,0 days 13:50:00.000000000
186,845,2600,4473.181818181818,7840,0 days 06:01:00.000000000,0 days 13:36:46.363636363,1 days 04:03:00.000000000
189,504,4000,11017.142857142857,15450,0 days 11:49:00.000000000,0 days 19:12:08.571428571,1 days 07:00:00.000000000
191,562,2150,4475.833333333333,6190,0 days 02:55:00.000000000,0 days 04:24:20.000000000,0 days 09:40:00.000000000
191,5611,6920,9787.5,10560,0 days 08:48:00.000000000,0 days 09:21:55.000000000,0 days 10:10:00.000000000
192,485,1800,3113.0,4990,0 days 04:10:00.000000000,0 days 15:47:00.000000000,1 days 08:20:00.000000000
192,504,2600,5616.666666666667,9800,0 days 08:10:00.000000000,0 days 18:56:50.000000000,1 days 10:45:00.000000000
192,628,1200,3048.0,7750,0 days 02:30:00.000000000,0 days 04:53:29.333333333,0 days 22:40:00.000000000
192,714,2300,4282.222222222223,6200,0 days 04:30:00.000000000,0 days 07:04:50.000000000,0 days 16:20:00.000000000
193,628,2150,2915.0,3480,0 days 03:40:00.000000000,0 days 13:25:00.000000000,0 days 22:50:00.000000000
197,542,3790,4951.0,6500,0 days 08:00:00.000000000,0 days 19:55:00.000000000,1 days 06:05:00.000000000
200,11,2680,6036.739130434783,12500,0 days 04:04:00.000000000,0 days 09:01:20.869565217,0 days 22:51:00.000000000
200,126,2050,3019.5180722891564,7080,0 days 02:10:00.000000000,0 days 04:24:50.602409638,0 days 11:20:00.000000000
200,152,1300,1873.4285714285713,3690,0 days 02:00:00.000000000,0 days 05:26:34.285714285,0 days 16:25:00.000000000
200,186,1480,3546.190476190476,5510,0 days 03:50:00.000000000,0 days 05:04:22.857142857,0 days 07:05:00.000000000
200,227,1190,2677.3333333333335,5080,0 days 03:50:00.000000000,0 days 05:52:32.000000000,0 days 08:15:00.000000000
200,336,5990,6316.666666666667,6480,0 days 18:45:00.000000000,0 days 20:06:40.000000000,0 days 22:20:00.000000000
200,424,2690,7463.0,15200,0 days 05:40:00.000000000,0 days 13:04:00.000000000,1 days 07:20:00.000000000
200,485,850,1222.9241877256318,1550,0 days 01:30:00.000000000,0 days 02:05:20.577617328,0 days 03:50:00.000000000
200,504,2400,4383.849206349207,6870,0 days 04:50:00.000000000,0 days 06:21:33.809523809,0 days 17:30:00.000000000
200,542,2150,2491.6666666666665,2650,0 days 03:30:00.000000000,0 days 04:00:00.000000000,0 days 04:20:00.000000000
200,548,500,1452.3809523809523,3280,0 days 01:10:00.000000000,0 days 03:01:31.428571428,0 days 12:15:00.000000000
200,628,1400,3215.3333333333335,6890,0 days 03:40:00.000000000,0 days 05:30:22.153846153,1 days 03:55:00.000000000
200,704,700,1306.0,2150,0 days 01:20:00.000000000,0 days 02:17:00.000000000,0 days 04:55:00.000000000
200,714,1400,2763.3333333333335,4780,0 days 06:50:00.000000000,0 days 11:06:00.000000000,0 days 18:55:00.000000000
200,848,2390,3658.0,5190,0 days 07:40:00.000000000,0 days 11:14:30.000000000,0 days 14:40:00.000000000
200,1094,10050,13358.0,16890,0 days 19:30:00.000000000,2 days 21:56:00.000000000,8 days 02:10:00.000000000
200,2070,2700,4241.111111111111,5600,0 days 06:50:00.000000000,0 days 10:19:26.666666666,0 days 15:05:00.000000000
200,6249,3600,3666.6666666666665,3700,0 days 04:50:00.000000000,0 days 05:10:00.000000000,0 days 05:20:00.000000000
200,7507,6980,8562.5,10100,0 days 15:50:00.000000000,0 days 21:42:30.000000000,1 days 05:00:00.000000000
204,467,3690,4345.0,5890,0 days 18:15:00.000000000,0 days 23:23:45.000000000,1 days 12:30:00.000000000
204,714,3390,10199.636363636364,16200,0 days 04:48:00.000000000,0 days 09:08:31.636363636,1 days 18:34:00.000000000
204,11110,500,600.0,700,0 days 00:50:00.000000000,0 days 01:02:00.000000000,0 days 01:20:00.000000000
212,628,2750,3416.25,5000,0 days 05:50:00.000000000,0 days 12:21:52.500000000,1 days 01:15:00.000000000
213,639,3500,19631.666666666668,28000,0 days 05:00:00.000000000,0 days 10:28:50.000000000,0 days 17:19:00.000000000
213,714,4790,5696.666666666667,6150,0 days 09:00:00.000000000,0 days 10:38:20.000000000,0 days 13:55:00.000000000
213,727,5390,13208.75,23000,0 days 06:25:00.000000000,0 days 10:08:15.000000000,0 days 18:55:00.000000000
214,628,1100,1519.6969696969697,1800,0 days 02:00:00.000000000,0 days 02:23:38.181818181,0 days 02:50:00.000000000
227,53,2890,6525.0,12300,0 days 07:12:00.000000000,1 days 01:52:10.000000000,1 days 20:30:00.000000000
227,102,600,725.0,950,0 days 01:00:00.000000000,0 days 01:28:20.000000000,0 days 01:40:00.000000000
227,173,1900,8058.5,16000,0 days 05:56:00.000000000,0 days 13:25:57.000000000,1 days 03:56:00.000000000
227,189,2000,2045.0,2090,0 days 14:05:00.000000000,0 days 19:07:30.000000000,1 days 00:10:00.000000000
227,191,1400,4737.777777777777,8300,0 days 03:44:00.000000000,0 days 09:36:26.666666666,1 days 12:20:00.000000000
227,200,1380,2673.75,5890,0 days 03:20:00.000000000,0 days 06:04:03.750000000,0 days 14:00:00.000000000
227,467,4390,17629.354838709678,30300,0 days 03:59:00.000000000,0 days 10:58:05.806451612,1 days 00:30:00.000000000
227,485,1100,1550.1336073997945,6000,0 days 01:40:00.000000000,0 days 02:57:44.090441932,1 days 02:00:00.000000000
227,560,2050,2475.0,2900,0 days 02:30:00.000000000,0 days 02:30:00.000000000,0 days 02:30:00.000000000
227,580,1990,6311.171875,15800,0 days 06:10:00.000000000,0 days 13:09:22.968750000,1 days 10:00:00.000000000
227,628,1100,2485.9349593495936,5700,0 days 02:37:00.000000000,0 days 04:30:48.292682926,0 days 14:30:00.000000000
227,638,2400,3075.75,4490,0 days 10:00:00.000000000,0 days 16:50:52.500000000,1 days 10:00:00.000000000
227,2181,1800,2341.818181818182,3000,0 days 03:00:00.000000000,0 days 03:21:27.272727272,0 days 04:20:00.000000000
239,126,2690,5311.25,6500,0 days 08:20:00.000000000,0 days 11:17:30.000000000,1 days 00:20:00.000000000
239,453,300,1198.3333333333333,3590,0 days 00:40:00.000000000,0 days 04:57:30.000000000,0 days 22:10:00.000000000
239,580,6100,8585.714285714286,12600,0 days 08:07:00.000000000,0 days 09:28:34.285714285,0 days 14:42:00.000000000
239,628,1200,1433.3333333333333,1800,0 days 01:40:00.000000000,0 days 02:03:20.000000000,0 days 02:30:00.000000000
264,5770,500,1046.25,1800,0 days 01:00:00.000000000,0 days 05:54:52.500000000,0 days 18:37:00.000000000
272,227,3390,3540.0,3690,0 days 11:55:00.000000000,0 days 13:12:30.000000000,0 days 14:30:00.000000000
272,628,3980,7845.0,13500,0 days 02:47:00.000000000,0 days 05:49:25.000000000,0 days 12:17:00.000000000
272,694,2300,5000.0,8500,0 days 05:50:00.000000000,0 days 11:59:00.000000000,0 days 23:50:00.000000000
277,504,4000,4758.888888888889,5780,0 days 17:10:00.000000000,1 days 02:54:26.666666666,2 days 02:35:00.000000000
277,714,3000,6873.125,11810,0 days 06:02:00.000000000,0 days 15:52:15.000000000,1 days 02:55:00.000000000
277,809,1100,1260.0,1400,0 days 02:20:00.000000000,0 days 02:46:00.000000000,0 days 03:10:00.000000000
277,1088,3000,3276.923076923077,3790,0 days 06:40:00.000000000,0 days 15:21:32.307692307,1 days 08:00:00.000000000
279,580,600,894.0,1340,0 days 00:50:00.000000000,0 days 01:33:00.000000000,0 days 02:46:00.000000000
279,628,5900,6833.333333333333,8250,0 days 09:10:00.000000000,0 days 10:06:40.000000000,0 days 13:40:00.000000000
279,694,13690,13690.0,13690,0 days 21:19:00.000000000,0 days 21:19:00.000000000,0 days 21:19:00.000000000
279,777,5050,5434.0,5960,0 days 04:13:00.000000000,0 days 10:01:12.000000000,0 days 20:23:00.000000000
300,6576,2400,2400.0,2400,0 days 03:30:00.000000000,0 days 03:30:00.000000000,0 days 03:30:00.000000000
317,21,3200,8940.714285714286,13080,0 days 05:22:00.000000000,0 days 08:30:42.857142857,0 days 16:10:00.000000000
317,23,6890,18172.14285714286,24300,0 days 07:26:00.000000000,0 days 13:04:25.714285714,0 days 21:50:00.000000000
317,28,3000,6761.111111111111,12180,0 days 05:04:00.000000000,0 days 14:54:21.666666666,1 days 13:25:00.000000000
317,126,4650,6139.523809523809,9310,0 days 07:10:00.000000000,0 days 14:28:48.571428571,1 days 12:25:00.000000000
317,152,3500,13371.578947368422,17900,0 days 04:50:00.000000000,0 days 13:29:47.368421052,1 days 17:45:00.000000000
317,173,1500,4963.428571428572,11810,0 days 04:40:00.000000000,0 days 12:51:21.428571428,1 days 03:55:00.000000000
317,554,1700,5636.7307692307695,10080,0 days 04:31:00.000000000,0 days 07:18:30.576923076,0 days 11:00:00.000000000
317,580,2100,3471.5384615384614,8810,0 days 05:10:00.000000000,0 days 08:09:27.692307692,0 days 10:10:00.000000000
317,628,1990,5909.036918138042,15980,0 days 03:21:00.000000000,0 days 07:12:59.325842696,1 days 11:55:00.000000000
317,697,3800,10031.714285714286,17650,0 days 05:56:00.000000000,0 days 15:11:32.571428571,1 days 09:55:00.000000000
317,732,850,2348.8888888888887,3920,0 days 01:40:00.000000000,0 days 05:04:48.571428571,0 days 20:31:00.000000000
317,840,1800,3104.8571428571427,4890,0 days 03:00:00.000000000,0 days 08:46:51.428571428,0 days 23:25:00.000000000
317,845,3950,5446.0,7610,0 days 04:46:00.000000000,0 days 05:15:36.000000000,0 days 05:40:00.000000000
317,1411,500,1506.6666666666667,2900,0 days 00:50:00.000000000,0 days 03:04:10.000000000,0 days 05:25:00.000000000
317,6135,6990,10540.0,12490,0 days 05:06:00.000000000,0 days 05:18:30.000000000,0 days 06:06:00.000000000
317,7250,1450,2123.913043478261,2650,0 days 03:00:00.000000000,0 days 03:24:20.869565217,0 days 04:00:00.000000000
317,8494,4750,10280.0,13360,0 days 06:50:00.000000000,0 days 15:50:40.000000000,1 days 00:09:00.000000000
328,126,3180,10444.347826086956,26400,0 days 05:34:00.000000000,0 days 13:56:49.565217391,1 days 07:43:00.000000000
328,628,1490,4764.545454545455,7950,0 days 02:46:00.000000000,0 days 05:53:54.545454545,1 days 03:05:00.000000000
336,200,5500,5737.5,6090,0 days 19:15:00.000000000,0 days 23:27:30.000000000,1 days 03:20:00.000000000
367,467,8600,8600.0,8600,0 days 11:30:00.000000000,0 days 11:30:00.000000000,0 days 11:30:00.000000000
367,504,600,712.5,850,0 days 01:30:00.000000000,0 days 01:32:30.000000000,0 days 01:40:00.000000000
367,7882,4150,4275.0,4400,0 days 06:50:00.000000000,0 days 07:10:00.000000000,0 days 07:30:00.000000000
386,809,500,2566.6666666666665,6900,0 days 01:00:00.000000000,0 days 01:25:56.000000000,0 days 02:35:00.000000000
390,437,2880,4441.666666666667,6340,0 days 10:00:00.000000000,0 days 13:15:50.000000000,0 days 23:40:00.000000000
411,485,7190,7190.0,7190,1 days 03:55:00.000000000,1 days 03:55:00.000000000,1 days 03:55:00.000000000
424,11,1600,4033.478260869565,6600,0 days 08:00:00.000000000,0 days 22:07:23.478260869,1 days 15:05:00.000000000
424,126,980,1427.8832116788321,3490,0 days 01:40:00.000000000,0 days 03:23:34.598540145,1 days 00:00:00.000000000
424,186,6890,7495.0,8190,0 days 18:40:00.000000000,0 days 22:50:00.000000000,1 days 08:50:00.000000000
424,453,3190,5470.0,11800,0 days 06:30:00.000000000,0 days 09:28:52.500000000,0 days 14:25:00.000000000
424,628,1550,5157.657142857143,13810,0 days 03:19:00.000000000,0 days 07:00:55.200000000,1 days 07:05:00.000000000
424,697,1200,1445.0,1690,0 days 04:25:00.000000000,0 days 05:42:30.000000000,0 days 07:00:00.000000000
424,6908,8700,8766.666666666666,8900,0 days 13:45:00.000000000,0 days 14:46:40.000000000,0 days 15:30:00.000000000
424,7134,1900,5523.0,17200,0 days 04:40:00.000000000,0 days 14:13:30.000000000,1 days 17:40:00.000000000
428,99,3800,4692.5,5490,0 days 15:15:00.000000000,1 days 01:23:45.000000000,1 days 15:05:00.000000000
428,485,1450,1690.4761904761904,2300,0 days 02:20:00.000000000,0 days 02:44:45.714285714,0 days 03:30:00.000000000
428,1061,3700,5007.0,6250,0 days 05:40:00.000000000,0 days 08:50:30.000000000,0 days 14:45:00.000000000
428,9141,3100,4200.0,5250,0 days 04:20:00.000000000,0 days 05:42:46.666666666,0 days 08:10:00.000000000
429,28,500,810.0,2690,0 days 01:00:00.000000000,0 days 02:13:20.000000000,0 days 09:20:00.000000000
429,317,4090,4587.5,5480,0 days 12:45:00.000000000,0 days 23:55:00.000000000,1 days 11:20:00.000000000
429,562,950,1625.7142857142858,2590,0 days 02:00:00.000000000,0 days 13:45:42.857142857,1 days 06:45:00.000000000
434,126,3190,7487.777777777777,11900,0 days 05:25:00.000000000,0 days 08:47:31.111111111,0 days 13:50:00.000000000
434,467,3800,11971.785714285714,27140,0 days 04:28:00.000000000,0 days 11:08:36.428571428,0 days 22:31:00.000000000
434,546,2700,2766.6666666666665,2800,0 days 12:15:00.000000000,0 days 23:35:00.000000000,1 days 12:15:00.000000000
434,628,1000,1592.5,2950,0 days 02:00:00.000000000,0 days 02:59:11.612903225,0 days 16:10:00.000000000
434,1061,1980,2747.5,8950,0 days 07:19:00.000000000,0 days 09:06:35.000000000,0 days 10:15:00.000000000
438,46,1500,4886.086956521739,8100,0 days 02:47:00.000000000,0 days 07:18:10.434782608,1 days 03:20:00.000000000
438,504,2290,5102.857142857143,13540,0 days 06:34:00.000000000,0 days 12:59:08.571428571,0 days 16:00:00.000000000
438,562,1000,1344.1176470588234,1550,0 days 01:50:00.000000000,0 days 02:25:00.000000000,0 days 06:05:00.000000000
438,628,950,1559.9476439790576,2300,0 days 01:40:00.000000000,0 days 02:19:22.303664921,0 days 04:20:00.000000000
438,714,1000,2300.0,4840,0 days 02:00:00.000000000,0 days 04:41:11.250000000,0 days 07:40:00.000000000
440,109,3790,3790.0,3790,0 days 23:55:00.000000000,0 days 23:55:00.000000000,0 days 23:55:00.000000000
440,777,10200,12120.0,14200,0 days 06:02:00.000000000,0 days 07:53:36.000000000,0 days 09:02:00.000000000
440,825,4800,13182.941176470587,20600,0 days 07:31:00.000000000,0 days 17:11:14.117647058,1 days 16:37:00.000000000
440,1885,4690,4690.0,4690,0 days 16:25:00.000000000,0 days 16:25:00.000000000,0 days 16:25:00.000000000
446,467,3480,4535.0,5490,0 days 11:05:00.000000000,0 days 16:00:50.000000000,0 days 21:10:00.000000000
451,57,5600,8383.333333333334,19600,0 days 07:31:00.000000000,0 days 09:53:26.666666666,0 days 14:40:00.000000000
451,99,2300,3411.5384615384614,5900,0 days 06:00:00.000000000,0 days 07:09:54.871794871,0 days 10:20:00.000000000
451,453,1200,1886.1904761904761,5660,0 days 01:50:00.000000000,0 days 02:26:37.142857142,0 days 06:55:00.000000000
451,467,3200,21768.823529411766,33900,0 days 02:56:00.000000000,0 days 07:34:21.176470588,0 days 22:58:00.000000000
451,580,7190,15533.846153846154,26300,0 days 09:07:00.000000000,0 days 23:50:41.538461538,1 days 13:00:00.000000000
451,628,1900,6745.64705882353,17000,0 days 03:13:00.000000000,0 days 07:35:38.117647058,1 days 03:52:00.000000000
451,673,2400,3398.0,4400,0 days 12:05:00.000000000,0 days 20:49:00.000000000,1 days 03:20:00.000000000
451,697,2500,2794.4444444444443,3190,0 days 10:35:00.000000000,0 days 15:35:00.000000000,1 days 08:30:00.000000000
451,848,2790,8123.1578947368425,16500,0 days 04:17:00.000000000,0 days 10:08:53.684210526,1 days 07:15:00.000000000
451,940,2500,4473.846153846154,6590,0 days 05:30:00.000000000,0 days 09:55:23.076923076,0 days 18:30:00.000000000
451,1918,7200,9985.882352941177,15000,0 days 17:00:00.000000000,1 days 12:56:10.588235294,2 days 09:40:00.000000000
453,11,4400,11327.5,17400,0 days 05:07:00.000000000,0 days 12:39:07.500000000,1 days 13:20:00.000000000
453,23,1800,2454.4736842105262,3780,0 days 02:40:00.000000000,0 days 07:29:12.631578947,1 days 09:30:00.000000000
453,28,1900,3149.090909090909,4150,0 days 05:40:00.000000000,0 days 09:39:19.090909090,1 days 02:05:00.000000000
453,33,2590,8515.555555555555,18900,0 days 05:47:00.000000000,0 days 09:48:37.333333333,1 days 02:55:00.000000000
453,57,3100,7705.454545454545,15220,0 days 05:45:00.000000000,0 days 10:46:00.000000000,0 days 15:20:00.000000000
453,139,5400,6223.333333333333,6880,0 days 22:15:00.000000000,1 days 03:10:00.000000000,1 days 10:55:00.000000000
453,446,1000,1982.7586206896551,2990,0 days 01:50:00.000000000,0 days 09:55:10.344827586,1 days 09:25:00.000000000
453,451,1550,4175.5,4960,0 days 02:22:00.000000000,0 days 04:14:54.000000000,0 days 21:25:00.000000000
453,467,3500,3500.0,3500,0 days 04:40:00.000000000,0 days 04:40:00.000000000,0 days 04:40:00.000000000
453,471,2390,2969.0,3690,0 days 09:50:00.000000000,0 days 11:41:00.000000000,0 days 14:30:00.000000000
453,485,1900,4856.3956639566395,12350,0 days 04:13:00.000000000,0 days 11:08:19.349593495,1 days 15:14:00.000000000
453,504,2290,6815.95744680851,16000,0 days 05:14:00.000000000,0 days 13:20:15.319148936,1 days 14:15:00.000000000
453,535,3800,9785.0,21500,0 days 06:26:00.000000000,0 days 10:05:02.000000000,0 days 15:45:00.000000000
453,538,4090,12246.0,15910,0 days 07:52:00.000000000,0 days 14:14:00.000000000,1 days 08:00:00.000000000
453,585,3600,4528.0,6750,0 days 09:30:00.000000000,0 days 14:51:00.000000000,0 days 17:25:00.000000000
453,628,1100,1750.2234636871508,6950,0 days 01:25:00.000000000,0 days 02:40:05.530726256,0 days 06:20:00.000000000
453,638,4100,10432.5,15650,0 days 06:24:00.000000000,0 days 08:30:00.000000000,0 days 15:25:00.000000000
453,639,3600,8820.65934065934,17500,0 days 07:13:00.000000000,0 days 13:56:52.747252747,1 days 11:42:00.000000000
453,732,2500,9017.543859649122,23400,0 days 04:07:00.000000000,0 days 10:17:16.842105263,1 days 08:35:00.000000000
453,843,6500,13254.347826086956,18700,0 days 06:12:00.000000000,0 days 13:22:57.391304347,1 days 09:01:00.000000000
453,872,3390,8391.111111111111,12200,0 days 04:11:00.000000000,0 days 07:45:13.333333333,0 days 12:45:00.000000000
453,994,8690,8690.0,8690,1 days 15:35:00.000000000,1 days 15:35:00.000000000,1 days 15:35:00.000000000
453,1041,2630,5580.0,7450,0 days 10:40:00.000000000,0 days 12:58:00.000000000,0 days 16:40:00.000000000
453,1061,700,1010.6837606837607,2100,0 days 01:10:00.000000000,0 days 03:34:52.307692307,1 days 06:45:00.000000000
453,1463,2226,2583.8333333333335,3026,0 days 07:30:00.000000000,0 days 08:04:10.000000000,0 days 08:35:00.000000000
453,1894,8250,8600.0,8950,0 days 11:40:00.000000000,0 days 12:25:00.000000000,0 days 13:10:00.000000000
453,6107,700,937.5,1100,0 days 01:20:00.000000000,0 days 01:20:00.000000000,0 days 01:20:00.000000000
453,7603,1200,2717.0454545454545,7850,0 days 02:22:00.000000000,0 days 02:52:24.545454545,0 days 05:32:00.000000000
453,8861,4000,4797.142857142857,7760,0 days 02:22:00.000000000,0 days 03:21:57.857142857,0 days 07:56:00.000000000
453,10719,1200,2150.0,3100,0 days 01:30:00.000000000,0 days 04:57:30.000000000,0 days 08:25:00.000000000
453,12166,1800,3478.0,5700,0 days 02:40:00.000000000,0 days 04:46:00.000000000,0 days 07:00:00.000000000
455,438,2690,3650.0,5090,0 days 08:40:00.000000000,0 days 13:15:30.000000000,0 days 23:40:00.000000000
455,453,2600,3824.6666666666665,4900,0 days 05:50:00.000000000,0 days 09:24:00.000000000,0 days 12:25:00.000000000
455,628,1990,3377.8260869565215,5720,0 days 03:30:00.000000000,0 days 07:29:28.695652173,1 days 02:46:00.000000000
455,694,1800,4636.666666666667,10800,0 days 05:11:00.000000000,0 days 10:23:33.333333333,0 days 21:05:00.000000000
455,845,1450,2217.5,3900,0 days 02:50:00.000000000,0 days 05:20:47.368421052,1 days 09:30:00.000000000
455,2181,2700,3140.0,3400,0 days 13:35:00.000000000,0 days 14:04:00.000000000,0 days 15:15:00.000000000
455,9077,3500,6293.148148148148,13300,0 days 05:50:00.000000000,0 days 09:59:33.333333333,1 days 00:32:00.000000000
462,798,2450,2450.0,2450,0 days 15:56:00.000000000,0 days 15:56:00.000000000,0 days 15:56:00.000000000
467,126,21250,30561.764705882353,38550,0 days 06:25:00.000000000,0 days 08:14:38.823529411,0 days 22:34:00.000000000
467,134,3300,10359.583333333334,20930,0 days 06:26:00.000000000,0 days 13:13:55.000000000,1 days 03:31:00.000000000
467,434,11150,15030.0,20890,0 days 06:24:00.000000000,0 days 08:52:30.000000000,0 days 17:15:00.000000000
467,451,3450,8986.931034482759,32250,0 days 05:03:00.000000000,0 days 11:34:14.482758620,1 days 12:50:00.000000000
467,453,2500,2993.75,3700,0 days 03:20:00.000000000,0 days 03:58:45.000000000,0 days 04:40:00.000000000
467,485,2990,19190.0,30650,0 days 06:02:00.000000000,0 days 11:10:40.645161290,0 days 22:15:00.000000000
467,504,4400,22351.515151515152,37550,0 days 07:34:00.000000000,0 days 15:01:45.454545454,1 days 08:00:00.000000000
467,628,3350,10503.421052631578,16950,0 days 03:37:00.000000000,0 days 06:00:27.157894736,1 days 15:11:00.000000000
467,843,4800,16928.125,30850,0 days 08:07:00.000000000,0 days 17:35:18.750000000,1 days 09:05:00.000000000
467,1061,2700,17490.151515151516,31850,0 days 03:46:00.000000000,0 days 07:37:27.272727272,1 days 07:41:00.000000000
467,1933,1516,2639.88,4950,0 days 05:30:00.000000000,0 days 12:08:26.400000000,1 days 00:10:00.000000000
467,11144,1288,1830.5846153846153,2130,0 days 01:28:00.000000000,0 days 02:33:53.076923076,0 days 09:53:00.000000000
471,809,3490,3786.0,4390,0 days 14:10:00.000000000,0 days 16:06:00.000000000,0 days 19:55:00.000000000
472,562,1000,1266.6666666666667,1600,0 days 05:40:00.000000000,0 days 10:23:20.000000000,0 days 15:50:00.000000000
472,727,1190,2256.25,3200,0 days 05:25:00.000000000,0 days 12:23:45.000000000,1 days 08:05:00.000000000
483,451,700,7590.967741935484,25100,0 days 01:10:00.000000000,0 days 05:31:05.806451612,0 days 13:12:00.000000000
483,638,4600,11564.444444444445,17970,0 days 08:17:00.000000000,0 days 15:11:40.000000000,1 days 02:45:00.000000000
485,11,1400,3407.215189873418,9550,0 days 01:41:00.000000000,0 days 03:42:05.316455696,0 days 13:00:00.000000000
485,23,4290,4290.0,4290,0 days 14:55:00.000000000,0 days 14:55:00.000000000,0 days 14:55:00.000000000
485,28,2200,3747.2727272727275,4750,0 days 06:00:00.000000000,0 days 12:00:00.000000000,1 days 08:15:00.000000000
485,30,4980,4980.0,4980,0 days 12:35:00.000000000,0 days 13:02:30.000000000,0 days 13:30:00.000000000
485,54,1700,2415.6666666666665,3590,0 days 03:10:00.000000000,0 days 08:41:30.000000000,0 days 19:40:00.000000000
485,57,850,1668.2894736842106,3000,0 days 02:00:00.000000000,0 days 04:14:08.684210526,0 days 22:20:00.000000000
485,76,4150,4664.285714285715,4900,0 days 06:20:00.000000000,0 days 10:23:34.285714285,1 days 06:55:00.000000000
485,89,2090,2493.3333333333335,2990,0 days 03:10:00.000000000,0 days 06:14:35.000000000,0 days 17:20:00.000000000
485,99,4700,6116.190476190476,9790,0 days 19:20:00.000000000,1 days 00:22:08.571428571,1 days 13:30:00.000000000
485,102,1550,1910.0,2150,0 days 02:30:00.000000000,0 days 02:46:00.000000000,0 days 03:10:00.000000000
485,109,2150,10298.701298701299,27150,0 days 06:30:00.000000000,0 days 10:05:03.116883116,1 days 10:46:00.000000000
485,126,3400,5944.0,15590,0 days 05:40:00.000000000,0 days 10:30:06.000000000,1 days 02:51:00.000000000
485,152,1690,5567.307692307692,9510,0 days 03:40:00.000000000,0 days 14:08:41.538461538,1 days 07:20:00.000000000
485,168,2390,4120.416666666667,12690,0 days 04:57:00.000000000,0 days 12:45:42.500000000,1 days 04:15:00.000000000
485,173,1500,3173.0555555555557,5880,0 days 04:00:00.000000000,0 days 08:26:10.833333333,1 days 04:05:00.000000000
485,188,1550,1550.0,1550,0 days 02:00:00.000000000,0 days 02:22:30.000000000,0 days 02:50:00.000000000
485,192,1990,3034.1176470588234,4090,0 days 16:20:00.000000000,1 days 01:50:35.294117647,1 days 12:30:00.000000000
485,200,950,1575.079365079365,4320,0 days 01:40:00.000000000,0 days 02:58:26.190476190,1 days 02:00:00.000000000
485,227,950,1971.2723658051689,3780,0 days 01:50:00.000000000,0 days 02:44:31.610337972,0 days 17:29:00.000000000
485,279,2500,5368.636363636364,10180,0 days 03:35:00.000000000,0 days 07:14:40.909090909,1 days 00:27:00.000000000
485,317,700,890.5555555555555,1580,0 days 01:00:00.000000000,0 days 03:05:16.666666666,0 days 23:50:00.000000000
485,401,17020,18416.0,22030,0 days 13:15:00.000000000,0 days 16:04:12.000000000,0 days 18:19:00.000000000
485,411,7490,8023.333333333333,8890,1 days 00:25:00.000000000,1 days 08:45:00.000000000,1 days 12:55:00.000000000
