,,price_in_cents,price_in_cents,price_in_cents,travel_ts,travel_ts,travel_ts
,,min,mean,max,min,mean,max
o_city,d_city,,,,,,
30,628,1590,6062.0,9920,0 days 02:22:00.000000000,0 days 04:21:48.000000000,0 days 09:04:00.000000000
30,638,2950,2950.0,2950,0 days 01:54:00.000000000,0 days 02:35:48.000000000,0 days 04:13:00.000000000
30,719,500,1820.0,2230,0 days 01:30:00.000000000,0 days 02:29:20.000000000,0 days 03:35:00.000000000
30,876,2150,12229.285714285714,16300,0 days 04:59:00.000000000,0 days 06:17:12.857142857,0 days 09:31:00.000000000
33,152,3800,10432.142857142857,17500,0 days 05:50:00.000000000,0 days 14:06:25.714285714,1 days 18:30:00.000000000
33,188,700,2205.925925925926,2750,0 days 01:10:00.000000000,0 days 02:46:06.666666666,0 days 04:10:00.000000000
33,453,3200,7257.1875,12800,0 days 06:14:00.000000000,0 days 10:27:12.187500000,1 days 11:55:00.000000000
33,485,850,1068.1818181818182,1300,0 days 01:30:00.000000000,0 days 01:41:49.090909090,0 days 02:20:00.000000000
33,504,2480,5603.125,8080,0 days 04:25:00.000000000,0 days 06:04:15.000000000,0 days 18:05:00.000000000
33,528,2400,2626.6666666666665,2990,0 days 08:15:00.000000000,0 days 15:45:00.000000000,0 days 22:25:00.000000000
33,562,3600,4042.5,4480,0 days 13:15:00.000000000,0 days 17:47:30.000000000,1 days 02:25:00.000000000
33,8663,850,2644.375,3360,0 days 01:10:00.000000000,0 days 03:18:33.750000000,0 days 04:01:00.000000000
46,94,850,1550.0,2000,0 days 01:30:00.000000000,0 days 12:13:20.000000000,0 days 19:05:00.000000000
46,171,850,2013.5294117647059,2600,0 days 01:10:00.000000000,0 days 09:57:17.647058823,1 days 01:10:00.000000000
46,446,700,2246.818181818182,3690,0 days 01:50:00.000000000,0 days 12:21:49.090909090,1 days 07:00:00.000000000
46,628,1550,2652.5,3680,0 days 02:40:00.000000000,0 days 08:05:00.000000000,0 days 13:25:00.000000000
46,697,2390,4943.076923076923,12000,0 days 03:29:00.000000000,0 days 14:36:18.461538461,1 days 07:35:00.000000000
46,843,6500,10711.42857142857,18000,0 days 05:50:00.000000000,0 days 13:38:22.857142857,1 days 08:39:00.000000000
46,1463,2716,3610.5,4616,0 days 14:15:00.000000000,0 days 19:01:40.000000000,1 days 04:25:00.000000000
46,5105,600,1777.857142857143,3970,0 days 01:40:00.000000000,0 days 06:55:08.571428571,0 days 16:15:00.000000000
